,text,label,pred_label
0,Taxpayers pay for roughly 45 percent of all births in Wisconsin! And 60 percent of the births in Milwaukee!!!,1, fake.
1,"In Atlanta, since 1994 when the Seven Deadly Sins (mandatory minimum sentences) took effect, the violent crime rate has dropped 62 percent.",1, real
2,"Under the health care law, everybody will have lower rates, better quality care and better access.",0, fake.
3,"The Katy Freeway, or Interstate 10 west of Houston, is the widest freeway in the world, with up to 26 lanes, including frontage road lanes.",0, real
4,John McCain has seven houses.,1, fake.
5,Says Donald Trump spent the least amount of money of any of the competitive primary contenders that he beat so badly.,1, fake.
6,No one in American history has moved from a June 16 announcement to a May 26 winning of a majority. Trumps achievement is remarkable.,0, fake
7,"Says that before health care reform, one of every three health care dollars spent -- more than $800 billion a year -- didnt go for health care.",1, fake.
8,On whether the United States should intervene in Libya.,0, fake.
9,She stood by ground zero workers who sacrificed their health after so many sacrificed their lives and kept standing till this administration took action.,1, real
10,"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.",0, fake
11,Says President Barack Obamas proposed budget includes two new tax increases that would collect about $14 billion.,1, fake.
12,"Says that illegal immigrants get a $100,000 break on University of Texas tuition over four years.",1, fake.
13,Social Security is a Ponzi scheme.,0, fake.
14,Cranstons 2014-2015 budget funds 100 percent of the local police and fire pension and other retiree benefit costs.,1, fake
15,The top 1/10th of 1 percent today in America owns almost as much wealth as the bottom 90 percent.,1, fake.
16,On running for re-election to U.S. Senate,0, fake
17,Mt. Hood Community College is No. 1 on average and top faculty pay and benefits.,1, fake.
18,The nine-day deer hunt contributes more than $1.3 billion in revenue to the state of Wisconsin.,1, real
19,"More than 3,000 homicides were committed by illegal aliens over the past six years.",0, fake.
20,"Right now, 50 percent of Florida students leaving high school cannot read at grade level.",1, fake.
21,"When career politician Daniel Webster became speaker of the House, he wasted $32,000 of our money on a spiral staircase for his office.",1, fake.
22,"In Hawaii, ""they don't have a history of throwing incumbents out of office.""",1, fake.
23,Rhode Island spends less than 10 percent of what the average state spends promoting tourism.,1, fake.
24,"Virginia was named best managed state, best state for business and best state toraise a child while I was governor.",1, fake.
25,The national debt is on track to double during Obamas presidency.,1, fake.
26,Six institutions in our country now control two thirds of the capital.,0, fake.
27,Says women who need a sonogram in the eighth to 10th week of pregnancy have to get a transvaginal sonogram.,1, fake.
28,"The lifespan of the average American is less than that of people in nations that spend far less (on health care). ... To put it bluntly, we spend more and die sooner.",1, fake
29,Says his plan to raise car registration to $56 would still leave Virginia with a fee thats equal to or lower than most states.,0, fake
30,Dan Branch once lobbied for the AFL-CIO.,0, fake.
31,David Cicilline is the 5th most liberal person in the House of Representatives.,0, fake.
32,John Cornyn voted twice in 2013 to back Obamas amnesty plan.,0, fake.
33,Americans spend 6.1 billion hours a year on tax preparation.,1, fake.
34,Says hes proposed the largest employer contribution to the Virginia Retirement System in history.,1, fake.
35,"There are actual cities like Birmingham, England, that are totally Muslim where non-Muslims just simply dont go in.",0, fake.
36,"In every poll, John Cornyn always loses to any conservative the voters have heard about.",0, fake.
37,"Says that Republicans bragged about how every bill was going to be paid for, right from the beginning and that the first vote, the repeal of health care reform, violated that rule.",1, fake
38,Virginia state employees pay nothing toward their pensions.,0, fake.
39,Giving money to politicians has paid off for Paul Workman. Workman gave thousands to politicians and got millions in government construction projects.,0, fake
40,Says the City of Portland alone has 84 public relation representatives on payroll which cost taxpayers over $6.2 million (a year).,0, fake
41,"On average, Americans spend less than 10 percent of their disposable income on food. Compare that to folks in Mexico, who spend 22 percent, China, 28 percent and Russia, 37 percent.",1, fake.
42,The top 1 percent (of income earners) paid 36.7 percent (of the taxes). ... The top 50 percent pay 97.7 percent.,1, fake
43,"I was among the earliest to criticize the rush to war (in Iraq), and yes, even before the war ever started.",0, real
44,Says the 2011-13 state budget eliminates the structural deficit for the first time in decades.,1, fake
45,The Nordic countries are some of the few countries that meet development aid goals.,1, fake.
46,"Austin has over 1,000 city employees that make six-figure salaries.",1, fake.
47,As long as I have served . . . This is the first time every single solitary decision has required 60 senators.,0, fake
48,Says he got lobbied by a woman with late-stage cancer about vaccinating Texas girls against a virus that can cause cervical cancer.,0, fake
